county,employed,out_of_work,total,dis_er,ndis_er,gap,prevalence,sh,no_qual,4p_hc,mh,no_partner,cluster_gp
Plymouth UA,17200,18400,35600,48.4,80,31.6,21.3,29.5,9,39.9,46,48.3,3
Portsmouth UA,13600,12300,25900,52.5,75.3,22.8,18.8,33.1,13.5,22,38.7,51.7,3
Redbridge,15100,15200,30300,49.7,72.8,23.1,15.9,16.9,15.9,25.1,17.6,41.2,3
"Scot Borders, The",5000,5200,10200,49.1,81.8,32.7,15,34.9,10.7,35.2,45.2,50.7,3
Sefton,15200,17800,33000,46.2,79.4,33.2,20.2,28,15.2,32.9,42.7,45.9,3
Sheffield,34600,41200,75800,45.7,75.8,30.1,20.6,33.8,14.2,28.5,40.5,53.2,3
Solihull,8400,10700,19100,43.8,77.8,34,15.2,31.6,18.3,23.1,32,49.4,3
South Lanarkshire,17900,20700,38600,46.5,82.2,35.6,19.2,34.8,19.4,27.8,37,47.5,3
Southend-on-Sea UA,9300,9700,19000,48.8,79.3,30.5,17.4,24.4,18,25,35.6,41.9,3
Staffordshire,43100,45100,88200,48.9,81.1,32.2,16.7,26.3,15.7,24.5,32.1,41.3,3
Stockton-on-Tees UA,10500,12300,22800,46.2,79,32.7,19,29,18.6,27.6,45.1,45.2,3
Suffolk,43100,41200,84300,51.2,82.5,31.3,19.5,29.5,14.3,26.2,40.6,37.2,3
Sutton,7300,10300,17600,41.5,81.9,40.4,13.8,33.4,7.4,27.8,44.8,46.8,3
Swindon,13900,12400,26300,52.8,82.8,30,18.8,34.8,12.6,27,40.5,47.9,3
Telford and Wrekin,9900,11300,21200,46.9,79.7,32.8,19.9,25.6,17.2,20.2,32.2,46.6,3
Thurrock UA,9300,9800,19100,48.4,78.4,30,18.3,31.8,19.2,28.4,30,45.2,3
Torbay,7300,8400,15700,46.7,80,33.4,21.2,19.1,12,35.1,45.6,55.5,3
"Vale of Glamorgan, The",5200,7000,12200,42.2,79.2,37,16.1,19.1,13.9,35,43.2,46.7,3
Warrington UA,11600,10500,22100,52.5,82.9,30.3,17.3,28.1,10.2,30.4,39.6,44.4,3
Wigan,17400,20900,38300,45.5,83.5,38,19.2,33.1,18.4,28.6,40.9,48,3
Wrexham,8700,8700,17400,49.8,81.7,31.8,20.7,33.5,13.5,20.2,36.4,41.3,3
Aberdeenshire,13800,11400,25200,54.8,85.5,30.8,15.4,27.4,8.5,25.1,34.1,42.4,4
Argyll & Bute,4000,3800,7800,52.2,80.6,28.5,15.3,28.2,15.9,22.3,34.4,44.5,4
Barnet,16200,18100,34300,47.1,74.3,27.2,14.1,34.4,9.4,15.6,23.4,46.2,4
Bath and North East Somerset UA,11200,8500,19700,56.6,79.3,22.8,17.2,23.7,8.1,20.5,31.8,47,4
Bedford UA,7500,5400,12900,58.5,82.3,23.8,12.8,27.4,13.6,14.1,30.7,35.6,4
Bexley,13800,9300,23100,59.6,79.5,19.9,15.4,25,11.3,22.5,26.3,39.9,4
Bournemouth UA,9500,10500,20000,47.6,76.3,28.7,16,18,10.7,25,40.1,50.2,4
Bracknell Forest UA,7700,3600,11300,68.8,84.6,15.8,14.7,19.5,6.4,17.9,35,37.5,4
Brent,15300,17100,32400,47.1,73.3,26.1,15,35.8,6.8,21.5,25.8,50.5,4
Bromley,14300,15200,29500,48.4,79.6,31.2,14.8,24,12.1,22.1,27.7,46.1,4
Buckinghamshire,23000,16900,39900,57.6,82.3,24.8,12.6,21.1,8.2,19.4,27.8,39.8,4
Cambridgeshire,40600,28200,68800,59,83.8,24.8,17,21.6,9.7,22.7,35.3,41.3,4
Central Bedforshire UA,18500,12600,31100,59.5,82.9,23.4,18.1,17.4,13.2,15.5,24.5,39.7,4
Cheshire East UA,19800,18500,38300,51.7,81,29.4,16.8,23.6,11.7,19.4,33.3,36,4
Devon,36900,30700,67600,54.6,82.1,27.4,15,22.2,9,31.4,37.9,38.6,4
Dorset,24200,16700,40900,59.2,82.7,23.4,17.8,24.3,6.8,25.7,40.4,42.2,4
Ealing,15300,16200,31500,48.4,74.7,26.3,14,32.6,14.2,19.9,23.8,43.4,4
East Dunbartonshire,4300,4600,8900,48,78,30,13.5,18.3,13.8,26.3,32.1,42.6,4
East Renfrewshire,3800,3900,7700,49.7,79,29.3,13.7,20.2,15.1,21.4,42,42.1,4
"Edinburgh, City of",19700,22200,41900,46.9,76.4,29.5,12.5,30.9,12,18.4,39.1,53.9,4
"Eilean Siar, Orkney & Shetland",3600,2000,5600,64.1,85.2,21.2,13.1,19.7,9.7,29.5,37,44.1,4
Enfield,19200,17200,36400,52.8,75.1,22.3,17.5,30.2,8.1,19.8,24.4,51.1,4
Essex,78700,69400,148100,53.1,80.4,27.3,16.9,24.9,14.8,20.6,31.2,40.7,4
Gloucestershire,35500,21100,56600,62.7,82.6,19.9,15.1,23.2,9.5,18.2,26.3,41.9,4
Hampshire,73900,52700,126600,58.4,83.9,25.5,15.6,28,8.2,20.7,32.5,36.8,4
Harrow,10700,8600,19300,55.2,76.1,20.9,12.2,19,6.7,14,20,43.5,4
Hertfordshire,60800,37600,98400,61.8,81.8,20,13.6,30.5,12,20.1,32.2,41.4,4
Hillingdon,14900,15000,29900,49.8,78.9,29.1,15.3,29.1,12.7,18.1,21.7,55.1,4
Kingston upon Thames,7700,6400,14100,54.3,77.7,23.4,12.5,27.3,4.9,14.8,35.3,46.2,4
Leicestershire,40400,29500,69900,57.7,81.2,23.4,16.8,25.4,11.7,18.3,31.7,36.5,4
Merton,8800,7300,16100,54.5,81.3,26.8,11.8,25.6,11.5,28.8,22.2,47.9,4
North Somerset UA,11700,9200,20900,55.7,81.9,26.2,17.3,18.8,8.9,26.4,38.1,42.9,4
North Yorkshire,33700,27200,60900,55.4,83.5,28.1,17.3,18.7,10.5,22.4,30.7,38.8,4
Northamptonshire,37500,33600,71100,52.7,84,31.3,16,24,13,22.1,29.5,41.5,4
Oxfordshire,29000,24600,53600,54.1,81.9,27.8,12.6,29.2,10.3,14.3,34.4,46,4
Poole UA,8900,6800,15700,56.7,82.4,25.7,17.4,17.1,12.4,25,35.7,42.9,4
Powys,7900,6000,13900,56.4,83.4,27,18.5,19.7,12.1,23.2,33.3,40.8,4
Reading UA,8500,6400,14900,57.1,77.1,20,13.7,22.7,11.2,21.3,31.5,53.8,4
Richmond upon Thames,8000,5200,13200,60.6,79.9,19.2,10.7,21.2,6.1,11.7,27.6,55.6,4
